id,nombre,escala,scenario,scenario_label,rank
C006,DOMINGO TOCORNAL,Comunal,equidad,Equidad,31
C006,DOMINGO TOCORNAL,Comunal,demanda,Demanda,40
C006,DOMINGO TOCORNAL,Comunal,ciclistas_biogeme,Logit,33
C006,DOMINGO TOCORNAL,Comunal,fractal_alameda,Fractal,28
C006,DOMINGO TOCORNAL,Comunal,continuidad,Continuidad,2
C006,DOMINGO TOCORNAL,Comunal,eficiencia,Eficiencia,40
C006,DOMINGO TOCORNAL,Comunal,educacion,Educación,40
C006,DOMINGO TOCORNAL,Comunal,integracion,Integración,33
C006,DOMINGO TOCORNAL,Comunal,seguridad,Seguridad,29
C006,DOMINGO TOCORNAL,Comunal,intermodal,Intermodal,36
I28,SANTA RAQUEL,Intercomunal,ponderacion_rmc,RMC,35
I28,SANTA RAQUEL,Intercomunal,balanceado,Balanceado,31
I28,SANTA RAQUEL,Intercomunal,equidad,Equidad,26
I28,SANTA RAQUEL,Intercomunal,demanda,Demanda,36
I28,SANTA RAQUEL,Intercomunal,ciclistas_biogeme,Logit,35
I28,SANTA RAQUEL,Intercomunal,fractal_alameda,Fractal,33
I28,SANTA RAQUEL,Intercomunal,continuidad,Continuidad,36
I28,SANTA RAQUEL,Intercomunal,eficiencia,Eficiencia,28
I28,SANTA RAQUEL,Intercomunal,educacion,Educación,29
I28,SANTA RAQUEL,Intercomunal,integracion,Integración,36
I28,SANTA RAQUEL,Intercomunal,seguridad,Seguridad,36
I28,SANTA RAQUEL,Intercomunal,intermodal,Intermodal,35
I08,GENERAL OSCAR BONILLA,Intercomunal,ponderacion_rmc,RMC,38
I08,GENERAL OSCAR BONILLA,Intercomunal,balanceado,Balanceado,35
I08,GENERAL OSCAR BONILLA,Intercomunal,equidad,Equidad,35
